iter	Passed	Remaining
0	149	149606
1	151	75695
2	153	50899
3	154	38526
4	156	31071
5	157	26094
6	158	22545
7	160	19901
8	162	17842
9	163	16165
10	164	14807
11	166	13682
12	167	12725
13	168	11897
14	170	11209
15	172	10624
16	174	10064
17	175	9559
18	176	9105
19	177	8694
20	178	8326
21	179	7991
22	180	7680
23	181	7399
24	183	7142
25	184	6902
26	185	6676
27	186	6469
28	187	6277
29	188	6093
30	189	5925
31	190	5768
32	191	5616
33	192	5477
34	193	5338
35	194	5207
36	195	5082
37	196	4965
38	196	4853
39	197	4748
40	198	4647
41	199	4556
42	201	4488
43	202	4397
44	203	4308
45	203	4221
46	204	4137
47	204	4056
48	204	3978
49	205	3903
50	205	3831
51	206	3763
52	206	3697
53	207	3633
54	207	3572
55	208	3512
56	208	3455
57	209	3399
58	209	3346
59	210	3294
60	210	3244
61	211	3196
62	211	3149
63	212	3103
64	212	3059
65	213	3016
66	213	2974
67	213	2931
68	214	2894
69	214	2856
70	215	2819
71	215	2782
72	216	2748
73	216	2714
74	217	2680
75	217	2648
76	218	2617
77	218	2586
78	219	2556
79	219	2527
80	220	2500
81	221	2474
82	221	2449
83	222	2424
84	222	2397
85	223	2374
86	223	2348
87	224	2326
88	225	2304
89	225	2282
90	226	2260
91	226	2238
92	227	2218
93	228	2198
94	228	2178
95	229	2159
96	231	2152
97	232	2136
98	232	2119
99	233	2101
100	234	2085
101	234	2066
102	235	2048
103	235	2032
104	236	2016
105	237	2000
106	237	1985
107	238	1970
108	239	1954
109	239	1939
110	240	1924
111	240	1910
112	241	1895
113	242	1880
114	242	1867
115	243	1852
116	243	1839
117	244	1827
118	244	1813
119	245	1800
120	246	1788
121	246	1775
122	246	1761
123	247	1749
124	248	1737
125	248	1725
126	249	1714
127	249	1701
128	250	1690
129	250	1678
130	251	1668
131	252	1657
132	252	1647
133	253	1637
134	254	1628
135	254	1618
136	255	1608
137	255	1597
138	256	1588
139	257	1579
140	257	1570
141	258	1560
142	258	1551
143	259	1542
144	261	1541
145	262	1536
146	263	1528
147	264	1519
148	264	1511
149	265	1503
150	265	1495
151	266	1486
152	267	1478
153	267	1469
154	267	1460
155	268	1452
156	268	1443
157	269	1435
158	269	1427
159	270	1418
160	270	1410
161	271	1402
162	271	1394
163	272	1387
164	272	1380
165	273	1373
166	273	1366
167	274	1359
168	275	1352
169	275	1345
170	276	1339
171	276	1332
172	277	1325
173	277	1319
174	278	1312
175	278	1305
176	279	1298
177	279	1292
178	280	1285
179	280	1278
180	280	1271
181	281	1264
182	281	1258
183	282	1252
184	282	1246
185	283	1240
186	283	1234
187	284	1228
188	284	1222
189	285	1216
190	285	1210
191	286	1204
192	286	1199
193	287	1193
194	287	1187
195	288	1182
196	288	1176
197	289	1171
198	289	1166
199	291	1166
200	292	1163
201	293	1158
202	293	1153
203	294	1149
204	295	1144
205	295	1139
206	296	1134
207	296	1130
208	297	1125
209	298	1121
210	298	1116
211	299	1112
212	299	1108
213	300	1103
214	301	1099
215	301	1095
216	302	1091
217	303	1087
218	303	1082
219	304	1078
220	304	1074
221	305	1070
222	306	1066
223	306	1062
224	307	1058
225	307	1054
226	308	1050
227	309	1046
228	309	1042
229	310	1039
230	310	1035
231	311	1031
232	312	1027
233	312	1023
234	313	1019
235	313	1016
236	314	1012
237	315	1008
238	315	1004
239	316	1001
240	316	997
241	317	994
242	317	990
243	318	987
244	319	983
245	320	981
246	323	986
247	324	983
248	325	980
249	325	977
250	326	974
251	327	970
252	327	967
253	328	963
254	328	960
255	329	957
256	330	954
257	330	951
258	331	948
259	331	944
260	332	941
261	333	938
262	333	935
263	334	932
264	334	929
265	335	926
266	336	923
267	336	920
268	337	916
269	338	913
270	338	910
271	339	908
272	339	905
273	340	902
274	341	899
275	341	896
276	342	893
277	342	890
278	343	887
279	344	885
280	344	882
281	345	879
282	346	876
283	346	873
284	347	871
285	348	869
286	348	866
287	349	864
288	350	861
289	352	861
290	353	860
291	353	858
292	354	855
293	355	852
294	355	850
295	356	847
296	356	844
297	357	842
298	358	839
299	358	837
300	359	834
301	359	831
302	360	829
303	361	826
304	361	824
305	362	821
306	362	819
307	363	816
308	364	814
309	364	811
310	365	809
311	366	807
312	366	804
313	367	802
314	367	799
315	368	797
316	369	795
317	369	792
318	370	790
319	370	788
320	371	785
321	371	783
322	372	780
323	373	778
324	373	776
325	374	774
326	375	771
327	375	769
328	376	767
329	376	765
330	377	763
331	378	760
332	378	758
333	379	756
334	380	754
335	382	755
336	383	753
337	383	751
338	384	749
339	385	747
340	385	745
341	386	743
342	387	741
343	387	739
344	388	737
345	389	735
346	389	733
347	390	731
348	391	729
349	391	727
350	392	725
351	393	723
352	393	721
353	394	719
354	394	717
355	395	715
356	396	713
357	396	711
358	397	709
359	398	707
360	398	705
361	399	703
362	399	701
363	400	699
364	401	697
365	401	695
366	402	693
367	402	691
368	403	690
369	404	688
370	404	686
371	405	684
372	406	682
373	406	681
374	407	679
375	408	677
376	408	675
377	409	673
378	409	671
379	410	669
380	412	670
381	413	668
382	414	667
383	414	665
384	415	663
385	416	661
386	416	660
387	417	658
388	417	656
389	418	654
390	419	652
391	419	651
392	420	649
393	421	647
394	421	645
395	422	644
396	422	642
397	423	640
398	424	638
399	424	637
400	425	635
401	426	633
402	426	631
403	427	630
404	427	628
405	428	626
406	429	625
407	429	623
408	430	621
409	430	620
410	431	618
411	432	616
412	432	615
413	433	613
414	434	611
415	434	610
416	435	608
417	435	606
418	436	605
419	437	603
420	437	602
421	438	600
422	439	598
423	439	597
424	440	595
425	440	594
426	442	594
427	443	593
428	444	591
429	445	590
430	445	588
431	446	586
432	447	585
433	448	584
434	448	582
435	449	581
436	449	579
437	450	578
438	451	576
439	451	575
440	452	573
441	452	571
442	453	570
443	454	568
444	454	567
445	455	565
446	455	564
447	456	562
448	457	561
449	457	559
450	458	558
451	459	556
452	459	554
453	460	553
454	460	552
455	461	550
456	462	549
457	462	547
458	463	546
459	463	544
460	464	543
461	465	541
462	465	540
463	466	538
464	466	537
465	467	535
466	468	534
467	468	532
468	469	531
469	469	529
470	470	528
471	470	526
472	472	526
473	473	525
474	474	524
475	474	522
476	475	521
477	476	519
478	476	518
479	477	517
480	478	515
481	478	514
482	479	513
483	479	511
484	480	510
485	481	508
486	481	507
487	482	506
488	483	504
489	483	503
490	484	502
491	484	500
492	485	499
493	486	498
494	486	496
495	487	495
496	488	494
497	488	492
498	489	491
499	490	490
500	490	488
501	491	487
502	491	485
503	492	484
504	493	483
505	493	481
506	494	480
507	494	479
508	495	477
509	496	476
510	496	475
511	497	474
512	497	472
513	498	471
514	499	470
515	499	468
516	500	467
517	501	466
518	502	465
519	503	464
520	504	463
521	505	462
522	505	461
523	506	460
524	507	458
525	507	457
526	508	456
527	508	454
528	509	453
529	510	452
530	510	451
531	511	449
532	512	448
533	512	447
534	513	446
535	514	444
536	514	443
537	515	442
538	516	441
539	516	440
540	517	439
541	518	437
542	518	436
543	519	435
544	519	434
545	520	432
546	521	431
547	521	430
548	522	429
549	522	427
550	523	426
551	524	425
552	524	424
553	525	422
554	526	421
555	526	420
556	527	419
557	527	418
558	528	416
559	529	415
560	529	414
561	530	413
562	531	412
563	533	412
564	534	411
565	534	410
566	535	408
567	536	407
568	536	406
569	537	405
570	537	404
571	538	402
572	539	401
573	539	400
574	540	399
575	540	398
576	541	396
577	542	395
578	542	394
579	543	393
580	544	392
581	544	391
582	545	390
583	545	388
584	546	387
585	547	386
586	547	385
587	548	384
588	549	383
589	549	381
590	550	380
591	550	379
592	551	378
593	552	377
594	552	376
595	553	375
596	554	374
597	554	372
598	555	371
599	555	370
600	556	369
601	557	368
602	557	367
603	558	366
604	558	364
605	559	363
606	560	362
607	560	361
608	561	360
609	563	360
610	564	359
611	564	357
612	565	356
613	565	355
614	566	354
615	567	353
616	567	352
617	568	351
618	568	350
619	569	348
620	569	347
621	570	346
622	570	345
623	571	344
624	571	343
625	572	342
626	572	340
627	573	339
628	573	338
629	574	337
630	574	336
631	575	334
632	575	333
633	576	332
634	576	331
635	577	330
636	577	329
637	578	328
638	578	326
639	579	325
640	579	324
641	580	323
642	580	322
643	581	321
644	581	320
645	581	318
646	582	317
647	582	316
648	583	315
649	583	314
650	584	313
651	584	312
652	585	311
653	585	309
654	586	308
655	586	307
656	587	306
657	587	305
658	588	304
659	588	303
660	589	302
661	589	300
662	589	299
663	590	298
664	591	297
665	591	296
666	593	296
667	594	295
668	594	294
669	595	293
670	595	292
671	596	291
672	596	289
673	597	288
674	597	287
675	598	286
676	598	285
677	599	284
678	599	283
679	600	282
680	601	281
681	601	280
682	602	279
683	602	278
684	603	277
685	604	276
686	604	275
687	605	274
688	606	273
689	606	272
690	607	271
691	607	270
692	608	269
693	609	268
694	609	267
695	610	266
696	610	265
697	611	264
698	612	263
699	612	262
700	613	261
701	614	260
702	614	259
703	615	258
704	615	257
705	616	256
706	616	255
707	617	254
708	617	253
709	618	252
710	618	251
711	619	250
712	619	249
713	620	248
714	620	247
715	621	246
716	622	245
717	623	244
718	624	243
719	624	242
720	625	241
721	625	240
722	626	239
723	626	238
724	627	237
725	627	236
726	628	235
727	628	234
728	629	233
729	629	232
730	630	231
731	630	230
732	631	229
733	631	228
734	632	227
735	632	226
736	633	225
737	633	224
738	633	223
739	634	222
740	634	221
741	635	220
742	635	219
743	636	218
744	636	217
745	637	217
746	637	216
747	638	215
748	638	214
749	639	213
750	639	212
751	640	211
752	640	210
753	641	209
754	641	208
755	642	207
756	642	206
757	643	205
758	643	204
759	644	203
760	644	202
761	645	201
762	645	200
763	646	199
764	646	198
765	647	197
766	647	196
767	648	195
768	648	194
769	649	193
770	649	192
771	650	192
772	650	191
773	651	190
774	652	189
775	653	188
776	654	187
777	654	186
778	655	185
779	656	185
780	656	184
781	657	183
782	658	182
783	658	181
784	659	180
785	660	179
786	660	178
787	661	177
788	662	177
789	662	176
790	663	175
791	664	174
792	664	173
793	665	172
794	665	171
795	666	170
796	667	169
797	667	169
798	668	168
799	669	167
800	669	166
801	670	165
802	671	164
803	671	163
804	672	162
805	672	161
806	673	161
807	674	160
808	674	159
809	675	158
810	675	157
811	676	156
812	677	155
813	677	154
814	678	153
815	678	153
816	679	152
817	679	151
818	680	150
819	681	149
820	682	148
821	684	148
822	685	147
823	686	146
824	687	145
825	687	144
826	688	144
827	688	143
828	689	142
829	689	141
830	690	140
831	691	139
832	692	138
833	693	137
834	693	137
835	694	136
836	694	135
837	695	134
838	696	133
839	696	132
840	697	131
841	697	130
842	698	130
843	698	129
844	698	128
845	699	127
846	699	126
847	700	125
848	701	124
849	701	123
850	701	122
851	702	122
852	703	121
853	703	120
854	704	119
855	704	118
856	704	117
857	705	116
858	705	115
859	706	114
860	706	114
861	707	113
862	707	112
863	708	111
864	708	110
865	709	109
866	709	108
867	710	108
868	710	107
869	711	106
870	713	105
871	714	104
872	714	103
873	715	103
874	715	102
875	716	101
876	716	100
877	717	99
878	717	98
879	718	97
880	718	97
881	719	96
882	719	95
883	720	94
884	720	93
885	721	92
886	721	91
887	722	91
888	722	90
889	723	89
890	723	88
891	723	87
892	724	86
893	724	85
894	725	85
895	725	84
896	726	83
897	727	82
898	727	81
899	728	80
900	728	80
901	729	79
902	729	78
903	730	77
